hero_1,hero_2,games,winrate
11,29,2095,0.5011933174224343
11,86,2885,0.5043327556325823
11,119,505,0.39603960396039606
11,131,510,0.4803921568627451
29,86,3305,0.556732223903177
29,119,670,0.4626865671641791
29,131,595,0.5126050420168067
86,119,710,0.5211267605633803
86,131,570,0.45614035087719296
119,131,130,0.38461538461538464
12,15,415,0.5301204819277109
12,31,910,0.46153846153846156
12,93,215,0.5581395348837209
12,138,155,0.4838709677419355
15,31,975,0.48205128205128206
15,93,1245,0.4779116465863454
15,138,470,0.3829787234042553
31,93,2530,0.5691699604743083
31,138,745,0.436241610738255
93,138,480,0.5104166666666666
4,26,1300,0.5038461538461538
4,61,170,0.4117647058823529
4,86,995,0.507537688442211
4,96,215,0.5348837209302325
26,61,950,0.4
26,86,3930,0.48982188295165396
26,96,1320,0.4962121212121212
61,86,630,0.5079365079365079
61,96,100,0.3
86,96,1185,0.47257383966244726
21,35,1880,0.4627659574468085
21,45,440,0.38636363636363635
21,85,960,0.5
21,135,495,0.45454545454545453
35,45,810,0.5061728395061729
35,85,1940,0.49742268041237114
35,135,895,0.547486033519553
45,85,295,0.3898305084745763
45,135,210,0.42857142857142855
85,135,300,0.3333333333333333
20,27,760,0.5592105263157895
20,35,1440,0.5520833333333334
20,82,300,0.6666666666666666
20,114,465,0.5698924731182796
27,35,3230,0.5185758513931888
27,82,760,0.5921052631578947
27,114,1695,0.5339233038348082
35,82,450,0.6333333333333333
35,114,1800,0.48055555555555557
82,114,250,0.62
2,12,1355,0.5645756457564576
2,13,930,0.4731182795698925
2,30,2930,0.5238907849829352
2,105,1815,0.5013774104683195
12,13,500,0.53
12,30,1555,0.5498392282958199
12,105,1065,0.5774647887323944
13,30,845,0.44970414201183434
13,105,635,0.49606299212598426
30,105,1295,0.5135135135135135
29,46,985,0.5177664974619289
29,70,910,0.4945054945054945
29,79,510,0.6372549019607843
46,70,175,0.37142857142857144
46,79,225,0.4666666666666667
46,131,320,0.4375
70,79,180,0.3888888888888889
70,131,335,0.3880597014925373
79,131,40,0.625
14,86,4815,0.5223260643821391
14,97,2040,0.46568627450980393
14,105,2520,0.5099206349206349
14,138,1700,0.5029411764705882
86,97,1970,0.4847715736040609
86,105,1575,0.5333333333333333
86,138,1295,0.4980694980694981
97,105,1590,0.5314465408805031
97,138,545,0.5688073394495413
105,138,645,0.4728682170542636
2,4,775,0.47096774193548385
2,15,565,0.49557522123893805
2,25,2150,0.5488372093023256
2,54,2525,0.5425742574257426
4,15,355,0.676056338028169
4,25,685,0.46715328467153283
4,54,390,0.6153846153846154
15,25,975,0.48205128205128206
15,54,1190,0.5168067226890757
25,54,2590,0.5501930501930502
9,21,645,0.4108527131782946
9,63,850,0.47058823529411764
9,93,1330,0.5526315789473685
9,112,120,0.4583333333333333
21,63,1130,0.415929203539823
21,93,1750,0.48857142857142855
21,112,285,0.40350877192982454
63,93,1155,0.49783549783549785
63,112,350,0.44285714285714284
93,112,675,0.5259259259259259
22,31,1405,0.47686832740213525
22,80,355,0.6056338028169014
22,104,2795,0.554561717352415
22,106,870,0.5287356321839081
31,80,300,0.6166666666666667
31,104,2590,0.5386100386100386
31,106,1070,0.5327102803738317
80,104,360,0.5555555555555556
80,106,125,0.56
104,106,1370,0.5583941605839416
1,38,965,0.45077720207253885
1,58,275,0.4909090909090909
1,71,3130,0.4424920127795527
1,73,725,0.5517241379310345
38,58,240,0.5
38,71,2030,0.49261083743842365
38,73,895,0.4692737430167598
58,71,515,0.4563106796116505
58,73,265,0.5660377358490566
71,73,2900,0.5241379310344828
1,21,1125,0.4088888888888889
1,47,1000,0.455
1,74,2305,0.44251626898047725
1,76,615,0.43902439024390244
21,47,840,0.4107142857142857
21,74,1630,0.3834355828220859
21,76,500,0.57
47,74,1040,0.4855769230769231
47,76,260,0.38461538461538464
74,76,420,0.42857142857142855
5,48,920,0.532608695652174
5,53,645,0.5193798449612403
5,85,780,0.5576923076923077
5,99,1135,0.5594713656387665
48,53,615,0.4796747967479675
48,85,775,0.45806451612903226
48,99,500,0.49
53,85,510,0.5294117647058824
53,99,675,0.4888888888888889
85,99,575,0.5478260869565217
1,31,1605,0.5514018691588785
1,49,515,0.42718446601941745
1,72,210,0.38095238095238093
31,49,840,0.4226190476190476
31,71,2675,0.5289719626168224
31,72,435,0.40229885057471265
49,71,1320,0.4962121212121212
49,72,205,0.34146341463414637
71,72,785,0.45222929936305734
40,74,2995,0.4724540901502504
40,94,1115,0.5426008968609866
40,101,1560,0.46474358974358976
40,108,1295,0.5173745173745173
74,94,1045,0.4784688995215311
74,101,1945,0.5012853470437018
74,108,1050,0.5095238095238095
94,101,750,0.5133333333333333
94,108,330,0.5454545454545454
101,108,705,0.524822695035461
6,14,3830,0.5
6,15,745,0.5100671140939598
6,39,1690,0.4378698224852071
6,111,395,0.5316455696202531
14,15,2370,0.47257383966244726
14,39,4105,0.46163215590742995
14,111,870,0.5287356321839081
15,39,995,0.45226130653266333
15,111,215,0.46511627906976744
39,111,430,0.46511627906976744
26,52,1260,0.4642857142857143
26,73,2750,0.49818181818181817
26,74,4595,0.4352557127312296
26,114,2420,0.4793388429752066
52,73,505,0.46534653465346537
52,74,485,0.5773195876288659
52,114,430,0.47674418604651164
73,74,2220,0.46621621621621623
73,114,860,0.46511627906976744
74,114,1530,0.45098039215686275
5,26,1520,0.4473684210526316
5,35,2270,0.6013215859030837
5,46,670,0.4552238805970149
5,104,2065,0.5399515738498789
26,35,4990,0.48296593186372744
26,46,1920,0.4609375
26,104,5235,0.5023877745940784
35,46,985,0.4873096446700508
35,104,3550,0.532394366197183
46,104,1315,0.49809885931558934
27,40,2015,0.5359801488833746
27,43,585,0.4700854700854701
27,67,1625,0.5538461538461539
27,71,3060,0.5228758169934641
40,43,615,0.3902439024390244
40,67,2305,0.5748373101952278
40,71,4160,0.5108173076923077
43,67,415,0.5060240963855421
43,71,855,0.4853801169590643
67,71,2770,0.5505415162454874
4,9,325,0.4307692307692308
4,14,1505,0.584717607973422
4,69,610,0.5983606557377049
4,80,130,0.46153846153846156
9,14,1705,0.4809384164222874
9,69,880,0.4715909090909091
9,80,175,0.4857142857142857
14,69,3355,0.4903129657228018
14,80,690,0.5362318840579711
69,80,240,0.4583333333333333
29,37,1640,0.5487804878048781
29,56,855,0.52046783625731
29,71,2940,0.5459183673469388
29,145,490,0.46938775510204084
37,56,655,0.5038167938931297
37,71,1910,0.4973821989528796
37,145,305,0.4426229508196721
56,71,1520,0.46381578947368424
56,145,150,0.5333333333333333
71,145,1010,0.5099009900990099
74,97,1840,0.421195652173913
74,102,645,0.3953488372093023
74,123,1560,0.42628205128205127
74,145,565,0.40707964601769914
97,102,210,0.47619047619047616
97,123,805,0.4782608695652174
97,145,425,0.4823529411764706
102,123,265,0.4528301886792453
102,145,130,0.5384615384615384
123,145,340,0.5147058823529411
31,37,750,0.5666666666666667
31,42,2405,0.6133056133056133
31,76,630,0.48412698412698413
31,126,1075,0.5488372093023256
37,42,1630,0.5153374233128835
37,76,580,0.6293103448275862
37,126,715,0.5804195804195804
42,76,945,0.5502645502645502
42,126,1135,0.5066079295154186
76,126,115,0.43478260869565216
4,5,560,0.5625
4,104,720,0.5555555555555556
4,112,175,0.5714285714285714
4,126,260,0.6346153846153846
5,112,280,0.5178571428571429
5,126,915,0.546448087431694
104,112,795,0.49056603773584906
104,126,1045,0.5550239234449761
112,126,325,0.5230769230769231
14,35,6020,0.526578073089701
14,40,4805,0.5088449531737773
14,56,1700,0.46176470588235297
14,137,955,0.45549738219895286
35,40,3805,0.4835742444152431
35,56,1075,0.5441860465116279
35,137,660,0.5075757575757576
40,56,1080,0.4583333333333333
40,137,770,0.525974025974026
56,137,260,0.4423076923076923
40,42,3585,0.5369595536959554
40,47,2065,0.5230024213075061
40,145,805,0.4720496894409938
42,43,565,0.5752212389380531
42,47,1230,0.524390243902439
42,145,480,0.5416666666666666
43,47,315,0.3968253968253968
43,145,150,0.43333333333333335
47,145,255,0.43137254901960786
26,70,1920,0.4635416666666667
26,101,2360,0.4915254237288136
26,105,2040,0.47549019607843135
70,101,950,0.4473684210526316
70,104,1245,0.46586345381526106
70,105,805,0.4658385093167702
101,104,3380,0.5162721893491125
101,105,995,0.5577889447236181
104,105,2265,0.5364238410596026
15,40,1755,0.4672364672364672
15,69,710,0.47183098591549294
15,71,2075,0.4843373493975904
15,81,200,0.35
40,69,2990,0.46488294314381273
40,81,790,0.4936708860759494
69,71,3115,0.5040128410914928
69,81,210,0.42857142857142855
71,81,680,0.5147058823529411
26,36,3735,0.5087014725568942
26,63,2945,0.5008488964346349
36,63,1580,0.5063291139240507
36,73,1520,0.5131578947368421
36,104,1875,0.544
63,73,1055,0.4834123222748815
63,104,1880,0.5079787234042553
73,104,1690,0.5295857988165681
1,11,1420,0.4647887323943662
1,69,1465,0.4948805460750853
1,114,500,0.43
11,69,1665,0.5075075075075075
11,71,3560,0.5084269662921348
11,114,800,0.4375
69,114,1325,0.5018867924528302
71,114,2275,0.5010989010989011
28,29,260,0.6153846153846154
28,31,1270,0.515748031496063
28,63,1230,0.524390243902439
28,75,1175,0.5361702127659574
29,31,2310,0.5432900432900433
29,63,1925,0.5272727272727272
29,75,1995,0.5739348370927319
31,63,1375,0.5345454545454545
31,75,815,0.5214723926380368
63,75,1435,0.4878048780487805
1,22,1755,0.47863247863247865
1,29,1765,0.5269121813031161
1,50,535,0.5514018691588785
22,29,2595,0.5337186897880539
22,50,455,0.4945054945054945
22,71,3235,0.5471406491499228
29,50,685,0.5620437956204379
50,71,845,0.47928994082840237
15,20,595,0.5294117647058824
15,36,895,0.5139664804469274
15,131,275,0.5272727272727272
20,36,945,0.48148148148148145
20,69,770,0.525974025974026
20,131,140,0.5357142857142857
36,69,1645,0.5075987841945289
36,131,470,0.44680851063829785
69,131,630,0.49206349206349204
7,31,1375,0.5672727272727273
7,32,555,0.6036036036036037
7,39,1505,0.5049833887043189
7,129,885,0.3954802259887006
31,32,740,0.5202702702702703
31,39,1915,0.5430809399477807
31,129,1255,0.46215139442231074
32,39,585,0.5555555555555556
32,129,390,0.44871794871794873
39,129,1345,0.43866171003717475
28,41,835,0.5329341317365269
28,76,530,0.4528301886792453
28,112,335,0.5223880597014925
41,75,1185,0.510548523206751
41,76,615,0.5528455284552846
41,112,375,0.5866666666666667
